City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,enewetak,11.3474,162.3373,28.340000000000032,73,70,3.57,MH,1697233809
254,dalandzadgad,43.5708,104.425,9.830000000000041,26,0,4.09,MN,1697233810
255,tamanrasset,22.785,5.5228,23.950000000000045,23,40,5.14,DZ,1697233776
256,sol'-iletsk,51.1631,54.9918,8.520000000000039,71,100,7.59,RU,1697233810
257,sidi bennour,32.6524,-8.4277,23.810000000000002,45,97,2.56,MA,1697233810
258,cova figueira,14.8905,-24.2934,25.060000000000002,80,94,2.52,CV,1697233810
259,nowshera cantonment,33.9967,72.0131,24.220000000000027,30,97,0.52,PK,1697233811
260,morehead city,34.7229,-76.726,24.010000000000048,67,0,4.12,US,1697233646
261,yemetsk,63.4721,41.7941,3.6100000000000136,85,92,4.9,RU,1697233811
262,fort st. john,56.2499,-120.8529,6.939999999999998,93,100,5.14,CA,1697233695
263,lisakovsk,52.5369,62.4936,7.400000000000034,69,100,9.03,KZ,1697233811
264,pau brasil,-15.4642,-39.6511,23.340000000000032,81,67,2.77,BR,1697233626
265,namie,37.4833,141.0,14.53000000000003,68,86,1.94,JP,1697233812
266,saint-philippe,-21.3585,55.7679,21.77000000000004,85,20,3.84,RE,1697233812
267,cooper's town,26.8667,-77.5167,28.700000000000045,81,100,3.53,BS,1697233812
268,zemio,5.0314,25.1361,23.200000000000045,83,87,1.14,CF,1697233813
269,geraldton,-28.7667,114.6,15.230000000000018,72,0,1.54,AU,1697233813
270,souillac,-20.5167,57.5167,23.210000000000036,78,40,2.57,MU,1697233813
271,igrim,63.1906,64.4162,2.7900000000000205,85,99,5.81,RU,1697233813
272,gorontalo,0.5412,123.0595,23.460000000000036,82,91,1.08,ID,1697233813
273,baramula,34.2,74.35,14.640000000000043,48,81,1.37,IN,1697233814
274,turabah,21.2141,41.6331,24.480000000000018,18,0,4.45,SA,1697233814
275,mount pearl,47.5166,-52.7813,11.580000000000041,98,100,4.12,CA,1697233814
276,steamboat springs,40.485,-106.8317,7.740000000000009,60,100,3.09,US,1697233815
277,praya,14.9215,-23.5087,28.30000000000001,78,20,4.12,CV,1697233767
278,yanykurgan,43.915,67.2481,6.32000000000005,49,2,3.07,KZ,1697233815
279,prince rupert,54.3161,-130.3201,14.050000000000011,75,0,1.54,CA,1697233815
280,fengxian,34.7039,116.5872,14.920000000000016,62,2,0.8,CN,1697233815
281,oranjemund,-28.55,16.4333,14.550000000000011,83,0,6.84,,1697233726
282,kuala tungkal,-0.8167,103.4667,24.890000000000043,86,100,2.75,ID,1697233816
283,afaahiti,-17.75,-149.2833,28.930000000000007,74,21,5.01,PF,1697233816
284,paracuru,-3.41,-39.0306,27.28000000000003,82,46,6.54,BR,1697233816
285,juneau,58.3019,-134.4197,13.390000000000043,93,75,3.6,US,1697233806
286,kerikeri,-35.2268,173.9474,18.28000000000003,81,4,2.24,NZ,1697233733
287,kyaikkami,16.08,97.5675,25.920000000000016,85,79,1.52,MM,1697233817
288,pala,9.3642,14.9046,26.420000000000016,62,22,1.9,TD,1697233817
289,olinda,-8.0089,-34.8553,26.850000000000023,78,75,4.63,BR,1697233817
290,boca do acre,-8.7522,-67.3978,31.49000000000001,52,86,1.48,BR,1697233818
291,mhamid,29.82,-5.72,24.390000000000043,24,21,1.97,MA,1697233818
292,oyonnax,46.2592,5.6573,20.07000000000005,87,29,3.61,FR,1697233818
293,arnprior,45.4334,-76.3494,13.650000000000034,73,72,2.45,CA,1697233818
294,lihue,21.9789,-159.3672,30.410000000000025,63,0,4.63,US,1697233819
295,plettenberg bay,-34.0527,23.3716,14.110000000000014,86,41,2.12,ZA,1697233819
296,beyneu,45.3167,55.2,9.600000000000023,60,0,4.82,KZ,1697233819
297,asau,46.4333,26.4,8.510000000000048,89,23,2.19,RO,1697233819
298,hasaki,35.7333,140.8333,12.220000000000027,59,12,3.7,JP,1697233819
299,cruzeiro do sul,-29.5128,-51.9853,15.840000000000032,81,9,3.37,BR,1697233820
300,tuy hoa,13.0833,109.3,24.710000000000036,94,100,1.2,VN,1697233820
301,glendive,47.1053,-104.7125,8.720000000000027,70,100,2.57,US,1697233820
302,mokhsogollokh,61.4681,128.9203,-5.42999999999995,82,100,0.9,RU,1697233820
303,broken hill,-31.95,141.4333,15.120000000000005,66,1,3.13,AU,1697233699
304,nogliki,51.8333,143.1667,8.310000000000002,78,100,5.61,RU,1697233821
305,rio grande,-32.035,-52.0986,17.060000000000002,65,2,4.25,BR,1697233821
306,eraan,9.0629,117.7016,25.930000000000007,88,97,2.38,PH,1697233821
307,jwaneng,-24.6004,24.7303,18.77000000000004,14,0,3.79,BW,1697233822
308,ambodifotatra,-16.9833,49.85,24.370000000000005,87,68,2.49,MG,1697233822
309,jalai nur,49.45,117.7,7.360000000000014,57,17,3.63,CN,1697233822
310,camrose,53.0168,-112.8353,11.740000000000009,52,0,8.3,CA,1697233568
311,ambato boeny,-16.4667,46.7167,24.670000000000016,82,23,2.12,MG,1697233823
312,daltonganj,24.0333,84.0667,19.99000000000001,63,0,1.62,IN,1697233823
313,batang,-6.4846,110.7083,26.140000000000043,75,90,2.93,ID,1697233823
314,paita,-5.0892,-81.1144,21.28000000000003,78,30,7.88,PE,1697233824
315,punta del este,-34.9667,-54.95,16.060000000000002,70,20,2.57,UY,1697233824
316,suoyarvi,62.0833,32.35,3.180000000000007,90,100,2.31,RU,1697233824
317,khovd,48.0056,91.6419,9.180000000000007,38,64,0.81,MN,1697233824
318,el matama,16.7095,33.3565,32.650000000000034,22,0,3.76,SD,1697233825
319,vila velha,-20.3297,-40.2925,26.970000000000027,78,20,5.14,BR,1697233825
320,callao,-12.0667,-77.15,19.160000000000025,72,100,3.09,PE,1697233825
321,porto-vecchio,41.591,9.2795,18.74000000000001,82,0,1.54,FR,1697233826
322,petropavlovsk-kamchatsky,53.0452,158.6483,3.0300000000000296,73,75,6.71,RU,1697233826
323,antofagasta,-23.65,-70.4,17.600000000000023,75,15,2.58,CL,1697233826
324,qamdo,31.1667,97.2333,-3.839999999999975,35,6,1.29,CN,1697233755
325,guiratinga,-16.3494,-53.7583,29.850000000000023,52,83,1.56,BR,1697233826
326,magong,23.5654,119.5863,25.189999999999998,74,23,9.35,TW,1697233827
327,skien,59.2075,9.6105,10.29000000000002,77,46,5.44,NO,1697233827
328,bayanhongor,46.7167,100.1167,1.160000000000025,37,20,1.22,MN,1697233827
329,cuatro cienegas de carranza,26.9833,-102.0833,32.200000000000045,34,0,6.2,MX,1697233771
330,kapuskasing,49.4169,-82.4331,9.050000000000011,76,100,6.17,CA,1697233828
331,sathupalli,17.2497,80.869,23.150000000000034,91,13,1.68,IN,1697233828
332,es castell,39.8795,4.2854,20.379999999999995,100,0,2.06,ES,1697233828
333,sengkang,-4.1279,120.0297,22.930000000000007,93,43,1.38,ID,1697233828
334,touba,8.2833,-7.6833,22.400000000000034,92,78,1.32,CI,1697233829
335,aykhal,66.0,111.5,-7.739999999999952,73,70,1.34,RU,1697233829
336,las heras,-46.5419,-68.9359,16.460000000000036,29,89,3.77,AR,1697233829
337,villamontes,-21.25,-63.5,26.689999999999998,28,24,0.0,BO,1697233829
338,ola,59.5833,151.2833,-1.9899999999999523,56,81,2.98,RU,1697233830
339,keflavik,64.0049,-22.5624,-0.049999999999954525,69,40,4.12,IS,1697233830
340,semirom,31.4167,51.5667,11.260000000000048,39,0,1.23,IR,1697233830
341,pimentel,-6.8367,-79.9342,24.160000000000025,64,0,9.26,PE,1697233830
342,khandyga,62.6667,135.6,-10.21999999999997,98,98,0.82,RU,1697233830
343,lingcheng,22.7072,110.3492,20.5,86,97,2.05,CN,1697233831
344,weno,7.4515,151.8468,27.760000000000048,77,100,2.18,FM,1697233831
345,xunchang,28.4543,104.715,15.090000000000032,93,100,1.02,CN,1697233831
346,krasnyy chikoy,50.3643,108.7512,4.28000000000003,78,100,5.0,RU,1697233831
347,ad dawadimi,24.5077,44.3924,22.640000000000043,9,0,3.5,SA,1697233832
348,mossel bay,-34.1831,22.146,13.960000000000036,85,21,4.4,ZA,1697233832
349,refahiye,39.9008,38.7667,8.379999999999995,45,0,0.72,TR,1697233832
350,tofol,5.3248,163.0078,28.650000000000034,72,100,2.69,FM,1697233832
351,northam,51.0333,-4.2167,13.140000000000043,75,23,9.2,GB,1697233833
352,rio blanco,18.8333,-97.15,27.0,63,48,3.04,MX,1697233560
353,ambovombe,-25.1667,46.0833,23.610000000000014,77,71,4.02,MG,1697233833
354,fallon,39.4735,-118.7774,21.07000000000005,30,75,1.54,US,1697233833
355,skidel',53.5904,24.2478,15.910000000000025,80,95,7.33,BY,1697233834
356,tortoli,39.9256,9.6572,20.900000000000034,94,0,2.57,IT,1697233834
357,eydhafushi,5.1033,73.0708,27.640000000000043,76,100,3.79,MV,1697233834
358,kruisfontein,-34.0033,24.7314,12.600000000000023,90,79,1.14,ZA,1697233730
359,susuman,62.7833,148.1667,-12.229999999999961,84,98,0.89,RU,1697233834
360,agaro,7.85,36.65,16.010000000000048,94,65,0.75,ET,1697233835
